Id,Title,Authors,Publication,Reference/textbook book?,Editions,Price (MRP),Department (Branch),Course,Semester,Subject,University,Uploader
173,Fundamentals of Polymer Processing,Stanley Middleman,McGraw Hill Company,Reference,1977,,Polymer,2012,Semester 6,Polymer Rheology and Processing,Pune University,nidhi
174,Applied Rheology in Polymer Processing,B. R Gupta,Asian Book Pvt Ltd,Reference,1st Edition,,polymer,2012,Semester 6,Polymer Rheology and Processing,Pune University,nidhi
175,Polymer melt rheology,F. N. Cogswell,John Wiley & sons,Reference,1st Edition,,polymer,2012,Semester 6,Polymer Rheology and Processing,Pune University,Nidhi
176,Basic Civil and Environmental Engg,"Nitsure, Wadkar, Ban and Bagad",Technical Publication,Textbook,,310,First Year,2012,Semester 1,Basic Civil and Environmental Engg,Pune University,Geet Pradhan
177,Basic Electronics Engg,"A.P Godse, U.A Bakshi",Technical Publication,Textbook,,280,First Year,2012,Semester 1/2,Basic Electronics Engg,Pune University,Geet Pradhan
178,Basic Electrical Engg,"U.A Bakshi, V.U. Bakshi",Technical Publication,Textbook,,370,First Year,2012,semester 1/2,Basic Electrical Engg,Pune University,Geet Pradhan
179,Engineering Graphics -I,"C.T Kunjir, P.B Daphalapurkar",Technical Publication,Textbook,,360,First Year,2012,Semester 1,Engineering Graphics -I,Pune University,Geet Pradhan
180,Fundamentals of Programming Languages-I,"A.P Godse, D.A Godse",Technical Publication,Textbook,,195,First Year,2012,Semester 1,Fundamentals of Programming Languages-I,Pune University,Geet Pradhan
181,Fundamentals of Programming Languages-II,"A.P Godse, Puntambekar",Technical Publication,Textbook,,135,First Year,2012,Semester 2,Fundamentals of Programming Languages-II,Pune University,Geet Pradhan
182,Basic Mechanical Engineering,"Anup Goel, Shinde, Karad",Technical Publication,Textbook,,275,First Year,2012,Semester 2,Basic Mechanical Engineering,Pune University,Geet Pradhan
183,Engineerig Mechanics,H.J Sawant and Anup Goel,Technical Publication,Textbook,,499,First Year,2012,Semester 2,Engineerig Mechanics,Pune University,Geet Pradhan
184,Engineering Physics,H.J Sawant and Arlikar,Technical Publication,Textbook,,270,First Year,2012,Semester 1/2,Engineering Physics,Pune University,Geet Pradhan
185,Engineering Mathematics -I,Dr Mujumdar and Dr M.Y Gokhale,Nirali Prakashan,Textbook,,500,First Year,2012,Semester 1,Engineering Mathematics -1,Pune University,Geet Pradhan
186,Engineering Mathematics -II,Dr Mujumdar and Dr M.Y Gokhale,Nirali Prakashan,Textbook,,500,First Year,2012,Semester 2,Engineering Mathematics -2,Pune University,Geet Pradhan
187, machine design,R.S Kurmi & J. K Gupta ,S Chand Publication ,Reference,2009 EDITION,,polymer,2012,Semester 6,Design of Equipment and machine elements,Pune University,Nidhi
188,Fundamentals of Machine Component Design,Robert C. Juvinall,,Reference,1st Edition,,Polymer,2012,Semester 6,Design of Equipment and machine elements,Pune university,Nidhi
189,Process Control,Bequette,PHI Publication,Reference,,,Polymer,2012,Semester 6,Instrumentation and Process Control,Pune university,Nidhi
190,Instrumentation devices and systems,"Rangan,Sharma,Mani",McGraw Hill Company,Reference,,,Polymer,2012,Semester 6,Instrumentation and Process Control,Pune university,
191,Power Generation Technologies,Singhal B. L.,Techmax Publication,Textbook,,375,Electrical,2012,Semester 3,Power Generation Technologies,Pune university,Nikhil Khaladkar
192,Material Science,Sarode U.B.,Techmax Publication,Textbook,,305,Electrical,2012,Semester 3,Material Science,Pune university,Nikhil Khaladkar
193,Advanced surveying,Kumavat V.K,Techmax Publication,Textbook,,225,Civil,2012,Semester 5,Advanced Surveying,Pune university,Manveet Khanuja
194,Fluid Mechanics II,Jain Indrajeet M.,Techmax Publication,Textbook,,435,Civil,2012,Semester 5,Fluid Mechanic II,Pune university,Manveet Khanuja
195,Hydrology and Water Resource Engineering,Pagnis Ravikant,Techmax Publication,Textbook,,265,Civil,2012,Semester 5,Hydrology And Water Resource Engineering,Pune university,Manveet Khanuja
196,Infrastructure Engineering,Kumavat V.K,Techmax Publication,Textbook,,305,Civil,2012,Semester 5,Infrastructure Engineering,Pune university,Manveet Khanuja
197,Structural Design I,Sajjan V Wagh,Techmax Publication,Textbook,,245,Civil,2012,Semester 5,Structural Design 1,Pune university,Manveet Khanuja
198,Architectural Planning and Design Of Buildings,Sajjan V Wagh,Techmax Publication,Textbook,,275,Civil,2012,Semester 4,Architectural Planning And Design Of Buildings,Pune university,Manveet Khanuja
199,Concrete Technology,Jain Indrajeet M.,Techmax Publication,Textbook,,295,Civil,2012,Semester 4,Concrete Technology,Pune university,Manveet Khanuja
200,Engineering Geology,Hulsure Vishal,Techmax Publication,Textbook,,225,Civil,2012,Semester 4,Engineering Geology,Pune university,Manveet Khanuja
201,Fluid Mechanics I,Jain Indrajeet M.,Techmax Publication,Textbook,,595,Civil,2012,Semester 4,Fluid Mechanics 1,Pune university,Manveet Khanuja
202,Structural Analysis I,Shinde Tukaram,Techmax Publication,Textbook,,465,Civil,2012,Semester 4,Structural Analysis 1,Pune university,Manveet Khanuja
203,Testing Of Materials,Sajjan V Wagh,Techmax Publication,Lab Manual,,95,Civil,2012,Semester 4,Testing Of Material,Pune university,Manveet Khanuja
204,organic chemistry 1,L.Finar,vol 1,"Referance
",,550,Chemical,2012,Semester 3,Chemistry 1,Pune university,Anuja  Ambesange
205,unit operation in chemical Engineering,W.L.Mccabe,McGraw Hill Company,"Referance
",5th edition,,Chemical,2012,Semester 3,Introduction to Chemical Engineering,Pune university,Anuja  Ambesange
206,Richardson Chemical Engineering,"M.c .Cabe,Smith.",,"Referance
",7th edition,,Chemical,2012,Semester 3,Chemical Engineering Fluid Mechanics,Pune university,Anuja  Ambesange
207,Introduction to Material Science,James.F.Shacketford,McGraw Hill Company,"Referance
",1990,,Chemical,2012,Semester 3,Chemical Engineering Materials,Pune university,Anuja  Ambesange
208,Fluid Flow operation,Gavhane,Nirali Publication,Textbook,,280,Chemical,2012,Semester 3,Chemical Engineering Fluid Mechanics,Pune university,Anuja  Ambesange
209,Process Calculation,Gavhane,Nirali Publication,Textbook,,450,Chemical,2012,Semester 3,Process Calculation,Pune university,Anuja  Ambesange
210,Chemistry  1,"Parulekar,nigot,pandit",Nirali Publication,Textbook,,125,Chemical,2012,Semester 3,Chemistry 1,Pune university,Anuja  Ambesange
211,Chemical Reaction Engineering 1,Gavhane,Nirali Publication,Textbook,,450,Chemical,2012,Semester 3,Introduction to chemical  Engineering,Pune university,Anuja  Ambesange
212,Chemistry  2,,Nirali Publication,Textbook,,150,Chemical,2012,Semester 4,Chemistry 2,Pune university,Anuja  Ambesange
213,Principels of Design,,Nirali Publication,Textbook,,200,Chemical,2012,Semester 4,Principles of Design,Pune university,Anuja  Ambesange
214,Heat transfer,K.A.Gavhane,Nirali Publication,Textbook,15th edition,375,Chemical,2012,Semester 4,Heat transfer,Pune university,Anuja  Ambesange
215,Mecanical Operation,Kiran .D .Patil,Nirali Publication,Textbook,,330,Chemical,2012,Semester 4,Mecanical Operation,Pune university,Anuja  Ambesange
216,C.R.E-1,Gavhane,Nirali Publication,Textbook,,400,Chemical,2012,Semester 6,Chemical Reaction engineering 1,Pune university,Anuja  Ambesange
217,Process Instrumentation and Control,A.P .Kulkarni,Nirali Publication,Textbook,15 th edition,275,Chemical,2012,Semester 6,Process Instrumentation and Control,Pune university,Anuja  Ambesange
218,Transport Phenomenon,,Nirali Publication,Textbook,5th edition,320,Chemical,2012,Semester 6,Transport Phenomena,Pune university,Anuja  Ambesange
219,Chemical Engineering Thermodynamics 1,K.A..Gavhane,Nirali Publication,Textbook,3 rd,375,Chemical,2012,Semester  4,Chemical Engineering Thermodynamics 1,Pune university,Anuja  Ambesange
220,Engineering Mathematics 3,"Dr.Gokhale, Dr.Mujumdar,Atal",Nirali Publication,Textbook,1 st,380,Chemical,2012,Semester 3,Engineering Mathematics 3,Pune university,Anuja  Ambesange
221,Mass Transfer Operations 1,,Nirali Publication,Textbook,4 th,425,Chemical,2012,Semester 5,Mass transfer 1,Pune university,Anuja  Ambesange
222,Mass Transfer Operation 2,,Nirali Publication,Textbook,12th,400,Chemical,2012,Semester 6,Mass Transfer 2,Pune university,Anuja  Ambesange
223,Managment for Business and industry,c.S.George,,"Referance
",,,Chemical,2012,Semester 5,Industrial organization and Managment,Pune university,Anuja  Ambesange
224,Chemical Process Industries,Shreve R.N.,McGraw Hill Company,"Referance
",,,Chemical,2012,Semester 5,Chemical Process Technology,Pune university,Anuja  Ambesange
225,Electrical Measurements & Instrumentation,Talange D.B.,Techmax Publication,Textbook,,335,Electrical,2012,Semester 3,Electrical Measurements & Instrumentation,Pune university,Nikhil Khaladkar
226,Analog and Digital Electronics,Katre J. S.,Techmax Publication,Textbook,,405,Electrical,2012,Semester 3,Analog and Digital Electronics,Pune university,Nikhil Khaladkar
227,Electrrical Machines-I,Katre J. S.,Techmax Publication,Textbook,,395,Electrical,2012,Semester 4,Electrrical Machines-I,Pune university,Nikhil Khaladkar
228,Fundamentals of Microprocessor & Microcontroller,Shah Urvashi S.,Techmax Publication,Textbook,,595,Electrical,2012,Semester 4,Fundamentals of Microprocessor & Microcontroller,Pune university,Nikhil Khaladkar
229,Network analysis,Katre J. S.,Techmax Publication,Textbook,,595,Electrical,2012,Semester 4,Network analysis,Pune university,Nikhil Khaladkar
230,Numerical Methods and Computer Programming,Auti A. B,Techmax Publication,Textbook,,495,Electrical,2012,Semester 4,Numerical Methods and Computer Programming,Pune university,Nikhil Khaladkar
231,Power System I,Bankar Deepak S.,Techmax Publication,Textbook,,285,Electrical,2012,Semester 4,Power System I,Pune university,Nikhil Khaladkar
232,Advance Microcontroller and its Applications,Shah Urvashi S.,Techmax Publication,Textbook,,295,Electrical,2012,Semester 5,Advance Microcontroller and its Applications,Pune university,Nikhil Khaladkar
233,Electrical Machine II,Chaudhari S.M.,Techmax Publication,Textbook,,345,Electrical,2012,Semester 5,Electrical Machine II,Pune university,Nikhil Khaladkar
234,Power Electronics,Katre J. S,Techmax Publication,Textbook,,435,Electrical,2012,Semester 5,Power Electronics,Pune university,Nikhil Khaladkar
235,Utilization of electrical Energy,Talange D.B.,Techmax Publication,Textbook,,235,Electrical,2012,Semester 6,Utilization of electrical Energy,Pune university,Nikhil Khaladkar
236,"
Design of Electrical Machines","
                Chaudhari M.A.",Techmax Publication,Textbook,,270,Electrical,2012,Semester 6,"
Design of Electrical Machines",Pune university,Nikhil Khaladkar
237,chemical process  and equipment design,K.A.Gavhane,Nirali publication,Textbook,5th,100,Chemical,2012,Semester 5,Chemical Process and  Technology,Pune university,Anuja  Ambesange
238,MCQ'S for online university examination,,Nirali publication,Textbook,1st,255,Chemical,2012,Semester 5,MCQ's for online university Examinaton ,Pune university,Anuja  Ambesange
239,numerical methods for engineers,"Steven.C.Chaper ,Raymond P Canale",Tata MacGraw Hill,"Referance
",5th,,Chemical,2012,Semester 5,Chemical Engineering Mathematics,Pune university,Anuja  Ambesange
240,Introduction to Chemical thermodynamics,J.M.Smith & H.C Vanness,,"Referance
",,,Chemical,2012,semester 5,Chemical Engineering Thermodynamics 2,Pune university,Anuja  Ambesange
241,Process Equipment design,L.E Brownell & E.Young,John Wiley,"Referance
",1963,,Chemical,2012,Semester 6, Chemical Engineering Design 1,Pune university,Anuja  Ambesange
242,Engineering Chemistry I,V.K. Walekar,Nirali Publications,Textbook,1st,240,Petrochemical,2012,Semester 3,Engineering Chemistry 1,Pune university,Anisha Salunkhe
243,Strength Of Materials,Dr. S. R. Parekar,Nirali Publications,Textbook,1st,375,Petrochemical,2012,Semester 3,Strength Of Materials,Pune university,Anisha Salunkhe
244,Strength Of Materials,H.J.Sawant,Technical Publication,Textbook,1st,495,Petrochemical,2012,Semester 3,Strength Of Materials,Pune university,Anisha Salunkhe
245,Engineering Mathematics III,A.N.Singh,Nirali Publications,Textbook,1st,520,Petrochemical,2012,Semester 4,Engineering Mathematics III,Pune university,Anisha Salunkhe
246,Engineering Mathematics III,S.K.Kate,Technical Publication,Textbook,1st,499,Petrochemical,2012,Semester 4,Engineering Mathematics III,Pune university,Anisha Salunkhe
247,Heat transfer,K.A.Gavhane,Nirali Publications,Textbook,15th,375,Petrochemical,2012,Semester 4,Heat transfer,Pune university,Anisha Salunkhe
248,Process Calculations,K.A.Gavhane,Nirali Publications,Textbook,29th,460,Petrochemical,2012,Semester 4,Process Calculation,Pune university,Anisha Salunkhe
249,Engineering Chemistry II,V.R.Doss,Nirali Publications,Textbook,1st,250,Petrochemical,2012,Semester 4,EngineeringChemistry II,Pune university,Anisha Salunkhe
250,Transport Phenomena,K.A.Gavhane,Nirali Publications,Textbook,5th,320,Petrochemical,2012,Semester 6,Transport Phenomena,Pune university,Anisha Salunkhe
251,Mass Transfer Operations I,K.A.Gavhane,Nirali Publications,Textbook,4 th,425,Petrochemical,2012,Semester 5,Mass transfer 1,Pune university,Anisha Salunkhe
252,Mass Transfer Operations II,K.A.Gavhane,Nirali Publications,Textbook,12th,400,Petrochemical,2012,Semester 6,Mass Transfer 2,Pune university,Anisha Salunkhe
253,Reservoir Engineering,Tarek Ahmed,Nirali Publications,Reference,1st,500,Petroleum,2012,Semester 5,Reservoir Engineering,Pune university,Nimish Ronghe
254,Petroleum Geology,,,Reference,4th,,Petroleum,2012,Semester 5,Petroleum Geology,Pune university,Nimish Ronghe
255,Geotechnical Engineering,Kumavat V. K,Techmax Publication,Textbook,,325,Civil,2012,Semester 3,Geotechnical Engineering,Pune university,Manveet Khanuja
256,Strength Of Materials,Jain Indrajeet M,Techmax Publication,Textbook,,525,Civil,2012,Semester 3,Strength Of Materials,Pune university,Manveet Khanuja
257,Engineering Chemistry I,V.K. Walekar,Nirali Publications,Textbook,1st,240,Petroleum,2012,Semester 3,Engineering Chemistry I,Pune university,Nimish Ronghe
258,Surveying,Kumavat V. K,Techmax Publication,Textbook,,425,Civil,2012,Semester 3,Surveying,Pune university,Manveet Khanuja
259,Engineering Mathematics III,"DR N S Mujumdar, DR M Y Gokhale",Nirali Publications,Textbook,1st,300,Civil,2012,Semester 3,Engineering Mathematics III,Pune university,Manveet Khanuja
260,Strength Of Materials,Dr. S. R. Parekar,Nirali Publications,Textbook,1st,375,Petroleum,2012,Semester 3,Strength Of Materials,Pune university,Nimish Ronghe
261,Engineering Mathematics III,A.N.Singh,Nirali Publications,Textbook,1st,520,Petroleum,2012,Semester 3,Engineering Mathematics III,Pune University,Nimish Ronghe
262,Engineering Mathematics III,S.K.Kate,Technical Publication,Textbook,1st,499,Petroleum,2012,Semester 3,Engineering Mathematics III,Pune University,Nimish Ronghe
263,Building Technology And Materials,"M V Jadhav,V S Limaye,V R Phadke,DR R K Jain",Nirali Publications,Textbook,1st,315,Civil,2012,Semester 3,Building Technology And Materials,Pune University,Manveet Khanuja
264,Heat transfer,K.A.Gavhane,Nirali Publications,Textbook,1st,375,Petroleum,2012,Semester 4,Heat Transfer,Pune University,Nimish Ronghe
265,Mass Transfer Operations II,K.A.Gavhane,Nirali Publications,Textbook,12th,400,Petroleum,2012,Semester 6,Mass Transfer 2,Pune university,Nimish Ronghe
266,Transport Phenomena,K.A.Gavhane,Nirali Publications,Textbook,5th,320,Petroleum,2012,Semester 6,Transport Phenomena,Pune university,Nimish Ronghe
267,Mass Transfer Operations I,K.A.Gavhane,Nirali Publications,Textbook,4th,425,Petroleum,2012,Semester 5,Mass transfer I,Pune University,Nimish Ronghe
268,Process Calculations,K.A.Gavhane,Nirali Publications,Textbook,29th,460,Petroleum,2012,Semester 4,Process Calculation,Pune University,Nimish Ronghe
269,Discrete Structures,P.P.Parwardhan,Technical Publication,Textbook,2nd,435,IT,2012,Semester 3,Discrete Structure,Pune University,Shriya Limburkar
270,Discrete Structures,Sultania Dilip Kumar,Techmax Publication,Textbook,,325,IT,2012,Semester 3,Discrete Structure,Pune University,Shriya Limburkar
271,Computer Organization,"A.P.Godse,D.A.Godse",Technical Publication,Textbook,2nd,340,IT,2012,Semester 3,Computer Organization,Pune University,Shriya Limburkar
272,Computer Organization,Sultania Dilip Kumar,Techmax Publication,Textbook,,405,IT,2012,Semester 3,Computer Organization,Pune University,Shriya Limburkar
273,Digital Electronics and Logic Design,"A.P.Godse,D.A.Godse",Technical Publication,Textbook,2nd,495,IT,2012,Semester 3,Digital Electronics and Logic Design,Pune University,Shriya Limburkar
274,Digital Electronics and Logic Design,J.S.Katre,Techmax Publication,Textbook,,505,IT,2012,Semester 3,Digital Electronics and Logic Design,Pune University,Shriya Limburkar
275,Fundamentals of data structures,A.A.Puntambekar,Technical Publication,Textbook,2nd,340,IT,2012,Semester 3,Fundamentals of data structures,Pune University,Shriya Limburkar
276,Fundamentals of data structures,Sultania Dilip Kumar,Techmax Publication,Textbook,,485,IT,2012,Semester 3,Fundamentals of data structures,Pune University,Shriya Limburkar
277,Problem solving and object orientedvprogramming,Seema kedar,Technical Publication,Textbook,1st,310,IT,2012,Semester 3,Problem solving and object oriented programming,Pune University,Shriya Limburkar
278,Engineering Mathematics |||,"S.K.Kate,A.R.Tambe,H.R.Bhapkar",Technical Publication,Textbook,1st,495,IT,2012,Semester 4,Engineering Mathematics |||,Pune University,Shriya Limburkar
279,Engineering Mathematics |||,Mitakari Santosh,Techmax Publication,Textbook,,495,IT,2012,Semester 4,Engineering MAthematics |||,Pune University,Shriya Limburkar
280,Computer Graphics and Gaming,"A.P.Godse,D.A.Godse",Technical Publication,Textbook,1st,375,IT,2012,Semester 4,Computer Graphics,Pune University,Shriya Limburkar
281,Computer Graphics and Gaming,Pawale Sanjesh,Techmax Publication,Textbook,,435,IT,2012,Semester 4,Computer Graphics,Pune University,Shriya Limburkar
282,Processor architecture and interfacing,"A.P.Godse,D.A.Godse",Technical Publication,Textbook,1st,325,IT,2012,Semester 4,Processor architecture and interfacing,Pune University,Shriya Limburkar
283,Processor architecture and interfacing,Shah Urvashi,Techmax Publication,Textbook,,595,IT,2012,Semester 4,Processor architecture and interfacing,Pune University,Shriya Limburkar
284,Data structure and files,A.A.Puntambekar,Technical Publication,Textbook,1st,410,IT,2012,Semester 4,Data structure and files,Pune University,Shriya Limburkar
285,Data structure and files,Sultania Dilip Kumar,Techmax Publication,Textbook,,565,IT,2012,Semester 4,Data structure and files,Pune University,Shriya Limburkar
286,Foundations of computer network,"V.S.Bagad,I.A.Dhotre",Technical Publication,Textbook,1st,255,IT,2012,Semester 4,Foundtion of computer network,Pune University,Shriya Limburkar
287,Foundations of computer network,Katre J.S,Technical Publication,Textbook,,495,IT,2012,Semester 4,Foundtion of computer network,Pune University,Shriya Limburkar
288,Theory of Computation,Sultania Dilip Kumar,Techmax Publication,Textbook,,435,IT,2012,Semester 4,Theory of Computation,Pune University,Shriya Limburkar
289,Database management system,Seema kedar,Technical Publication,Textbook,1st,399,IT,2012,Semester 4,Database Management system,Pune University,Shriya Limburkar
290,Computer network and technology,"J.S.Katre,Jayashri Joshi",Techmax Publication,Textbook,1st,375,IT,2012,Semester 4,Computer network and technology,Pune University,Shriya Limburkar
291,Computer network and technology,"V.S.Bagad,I.A.Dhotre",Technical Publication,Textbook,,290,IT,2012,Semester 4,Computer network and technology,Pune University,Shriya Limburkar
292,Web Engineering and Technology,A.A.Puntambekar,Technical Publication,Textbook,1st,450,IT,2012,Semester 4,Web Engineering and Technology,Pune University,Shriya Limburkar
293,Web Engineering and Technology,Jadhav D.M,Techmax Publication,Textbook,,265,IT,2012,Semester 4,Web Engineering and Technology,Pune University,Shriya Limburkar
294,Software Engineering,Ansari M.A,Techmax Publication,Textbook,1st,285,IT,2012,Semester 4,Software Engineering,Pune University,Shriya Limburkar
295,Design and Analysis of Algorithms,Redekar Suraj,Techmax Publication,Textbook,,330,IT,2012,Semester 4,Design and analysis of algorithms,Pune University,Shriya Limburkar
296,Human computer interaction and usability,Borde Santosh P.,Techmax Publication,Textbook,,250,IT,2012,Semester 4,Human computer interaction and usability,Pune University,Shriya Limburkar
297,Management information systems,Diana Saroj K.,Techmax Publication,Textbook,,315,IT,2012,Semester 4,Management information systems,Pune University,Shriya Limburkar
298,Management information systems,V.S.Bagad,Technical Publication,Textbook,1st,275,IT,2012,Semester 4,Management information systems,Pune University,Shriya Limburkar
299,Programming Paradigms,Mane Deepak T.,Techmax Publication,Textbook,,365,IT,2012,Semester 4,Programming Paradigms,Pune University,Shriya Limburkar
300,System Software Programming,Sultania Dilip Kumar,Techmax Publication,Textbook,,345,IT,2012,Semester 4,System Software Programming,Pune University,Shriya Limburkar
301,Engineering Mathematics 3,"Dr.Gokhale, Dr.Mujumdar,Atal",Nirali Publication,Textbook,1st,380,Biotech,2012,Semester 3,Engineering Mathematics 3,Pune university,Shraddha Babar
302,Heat transfer,K A Gavhane,Nirali Publication,Textbook,15th,375,Biotech,2012,Semester 4,Heat Transfer,Pune university,Shraddha Babar
303,Thermodynamics,Dr S S Kore  S S Ghorpade S N Sanpali,Nirali Publication,Textbook,1st,175,Biotech,2012,Semester 4,Thermodynamics,Pune university,Shraddha Babar
304,Chemical Reaction Engineering II,K A Gavhane,Nirali Publication,Textbook,9th ,375,Biotech,2012,Semster 5,Reaction Engineering,Pune university,Shraddha Babar
305,Engineering Drawing,N.D. Bhatt,Charotar Pubication,Referrence,1st,200,FE,2012,Semester 1,Engineering Drawing,Pune university,Anisha Salunkhe
306,Electronic Device Circuit 1,U.A.Bakshi A.P.Godse,Technical Publication,Textbook,2013 edition,319,Entc,2012,semster 3,Electronic Device and Circuits,Pune university,Shraddha Babar
307,Network Theory,U.A. Bakshi,Technical Publication,Textbook,2014 edition,,Entc,2012,semster 4,Network Theory,Pune university,Shraddha Babar
308,Introduction to work study,International Labour Office,Universal Publishing Corporation,Reference,,350,Production,,Semester 5,,Pune university,Bhushan Lodha
309,Introduction to work study,International Labour Office,Universal Publishing Corporation,Reference,,350,Industrial,,Semester 5,,Pune university,Bhushan Lodha
310,Programming with Java,E Balagurusamy,McGraw Hill Company,Reference,,,,,,,,
311,Operations Research,R. Panneerselvam,PHI,Reference,,275,Production,,Semester 5,,,Bhushan Lodha
312,Basic Civil and Environmental Engineering,"R.K. Lad, A.H. Biradar, S.T. Mali, S.K. Patil",Nirali Publication,Textbook,,,First Year,2012,Semester 1,Basic Civil and Environmental Engineering,Pune University,Mithil
313,Engineering Mechanics,"U.R. Awari, S.R. Parekar, S.V. Joshi, U.P Naik",Nirali Publication,Textbook,,,First Year,2012,Semester 2,Engineering Mechanics,Pune University,Mithil
